Date,Close,High,Low,Open,Volume
03-09-2024,4980.600098,5039.799805,4965,5029,222027
04-09-2024,5100.899902,5109,4960.350098,4974,319841
05-09-2024,5308.149902,5361.149902,5077.100098,5084.100098,1323435
06-09-2024,5303.450195,5354.549805,5202,5293,721164
09-09-2024,5361.399902,5395,5216.049805,5303.450195,594876
10-09-2024,5344.399902,5422.450195,5315,5361.399902,400985
11-09-2024,5299.100098,5449,5279.100098,5357.899902,461780
12-09-2024,5238.549805,5376.049805,5216.899902,5330,380591
13-09-2024,5187.049805,5255.850098,5155,5250.899902,395545
16-09-2024,5204.799805,5260,5176.149902,5188.049805,198479
17-09-2024,5219.850098,5254,5200.100098,5227,155984
18-09-2024,5265.200195,5289,5219.899902,5225,201983
19-09-2024,5342.5,5443.950195,5180,5295,392198
20-09-2024,5320.549805,5417.950195,5225.100098,5360,598428
23-09-2024,5297.450195,5363,5260.25,5355.149902,179528
24-09-2024,5391.450195,5484.850098,5231.149902,5304.950195,672936
25-09-2024,5265.5,5417.5,5232,5400,529354
26-09-2024,5198.049805,5313.450195,5164,5313.450195,372440
27-09-2024,5102.299805,5226,5090,5224.600098,566687
30-09-2024,5096.299805,5215,5080,5102.299805,437174
01-10-2024,4954.350098,5138,4936.100098,5095,562718
03-10-2024,4942.600098,5015,4881,4924.549805,615247
04-10-2024,4737.549805,4875,4696.100098,4875,2983666
07-10-2024,4544.149902,4752.899902,4518,4741,1864971
08-10-2024,4465.450195,4619.899902,4435,4544.149902,1009173
09-10-2024,4645.399902,4688.75,4481.649902,4510,1059581
10-10-2024,4607.5,4698.899902,4572,4664.799805,316729
11-10-2024,4572.700195,4643.100098,4529,4643.100098,410581
14-10-2024,4183.600098,4299,4139.950195,4204,4876749
15-10-2024,4193.549805,4238.950195,4180.600098,4230,1355665
16-10-2024,4173.799805,4215,4149,4209,688895
17-10-2024,4087.699951,4180,4044,4175,731365
18-10-2024,3986.699951,4114,3975.100098,4100,1094839
21-10-2024,3973.449951,4073,3961,4000.050049,494815
22-10-2024,4005.199951,4057,3965.899902,3999.899902,698102
23-10-2024,4156.100098,4224.799805,3978,4009,686716
24-10-2024,4060.100098,4187.899902,4044.649902,4155.75,435991
25-10-2024,4052.199951,4125,3985.449951,4061.949951,423224
